ablation_type,variant,feature_set,feature_count,sort_strategy,weighting_scheme,max_turnover,backend,rmse_mean,mae_mean,rank_ic_mean,top5_mean_return_mean,rmse_std,mae_std,rank_ic_std,top5_mean_return_std,profile_name,prediction_source,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost
feature,base,base,16,risk_adjusted,risk_adjusted,0.5,lightgbm,0.500544079012423,0.4977581626922478,-0.04107398912388388,0.005441968321049769,0.0037203900092118245,0.003957939493043865,0.025393384461358796,0.007550744830404047,feature_base,walk_forward_base,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.042610772093548466,0.011809716374718615,0.0007212955134577589,0.00022129551345775883,0.007172321979520222,0.007172321979520222,-0.059244383467267125,-0.07374575229152003,0.7251955408471614,0.2224920529447436,0.5333333333333333,0.48333333333333334,5.0,5.0,0.025177947483501176,0.5,1.796018553281301,0.28215770495841885,0.030000000000000002
feature,base_technical,base_technical,36,risk_adjusted,risk_adjusted,0.5,lightgbm,0.49929330876682415,0.49637483656247167,-0.022570832833723593,-0.004138036909181486,0.0042719586103382,0.004429959698886502,0.024750890172093098,0.006119262206600792,feature_base_technical,walk_forward_base_technical,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.048961019200273403,0.017975325032617784,0.000826778520404996,0.00032677852040499574,0.007738104147479608,0.007738104147479608,-0.04516617767450115,-0.057666267650079095,0.7704709815112549,0.3045233531585968,0.5333333333333333,0.4666666666666667,5.0,5.0,0.020701472349744655,0.5,1.680097002238839,0.30334736096449855,0.030000000000000002
feature,base_technical_risk,base_technical_risk,45,risk_adjusted,risk_adjusted,0.5,lightgbm,0.49912483147573505,0.4961112194726674,-0.028079520883123987,-0.0009439015887825042,0.004915464734502179,0.0051048971716200365,0.027168992203367468,0.004600046223513203,feature_base_technical_risk,walk_forward_base_technical_risk,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.07178586171234635,0.0401372900754251,0.0011805304899672236,0.0006805304899672234,0.006998920077562504,0.0069989200775625055,-0.05533459136252561,-0.0675355058125312,1.2163199941291054,0.7011617646441234,0.45,0.45,5.0,5.0,0.01889485548411353,0.5,1.6463912771529647,0.3105924077735314,0.030000000000000002
sort_strategy,pure_prediction,base_technical_risk,45,pure_prediction,risk_adjusted,0.5,reused_full_feature_predictions,,,,,,,,,sort_pure_prediction,walk_forward_base_technical_risk,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.061794969996777915,0.030436493463677383,0.0010276068186766737,0.0005276068186766735,0.0074671599545326085,0.0074671599545326085,-0.05511429982571503,-0.06688138667227761,0.9923690126675706,0.5095145810740167,0.4666666666666667,0.43333333333333335,5.0,5.0,0.01958874561257137,0.5,1.6643982962828856,0.30758622181341333,0.030000000000000002
sort_strategy,risk_adjusted,base_technical_risk,45,risk_adjusted,risk_adjusted,0.5,reused_full_feature_predictions,,,,,,,,,sort_risk_adjusted,walk_forward_base_technical_risk,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.07178586171234635,0.0401372900754251,0.0011805304899672236,0.0006805304899672234,0.006998920077562504,0.0069989200775625055,-0.05533459136252561,-0.0675355058125312,1.2163199941291054,0.7011617646441234,0.45,0.45,5.0,5.0,0.01889485548411353,0.5,1.6463912771529647,0.3105924077735314,0.030000000000000002
weighting,equal,base_technical_risk,45,risk_adjusted,equal,0.5,reused_full_feature_predictions,,,,,,,,,weight_equal,walk_forward_base_technical_risk,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.0658003640651057,0.034325603925537074,0.0010883286875156312,0.0005883286875156307,0.007173049402996354,0.007173049402996354,-0.05771418135602202,-0.07038051771579268,1.0941022895386374,0.5914497811148326,0.4666666666666667,0.45,5.0,5.0,0.018926526595822658,0.5,1.6566153476182681,0.30878398332043744,0.030000000000000002
weighting,pred,base_technical_risk,45,risk_adjusted,pred,0.5,reused_full_feature_predictions,,,,,,,,,weight_pred,walk_forward_base_technical_risk,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.06784199285156767,0.036307904710103145,0.0011211153999564631,0.0006211153999564633,0.007291770328060124,0.007291770328060124,-0.05900589134253875,-0.07165550884253513,1.1087126660311937,0.6142440921117522,0.4666666666666667,0.45,5.0,5.0,0.018740314105273784,0.5,1.653896139788349,0.3094747360879595,0.030000000000000002
weighting,risk_adjusted,base_technical_risk,45,risk_adjusted,risk_adjusted,0.5,reused_full_feature_predictions,,,,,,,,,weight_risk_adjusted,walk_forward_base_technical_risk,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.07178586171234635,0.0401372900754251,0.0011805304899672236,0.0006805304899672234,0.006998920077562504,0.0069989200775625055,-0.05533459136252561,-0.0675355058125312,1.2163199941291054,0.7011617646441234,0.45,0.45,5.0,5.0,0.01889485548411353,0.5,1.6463912771529647,0.3105924077735314,0.030000000000000002
turnover,max_turnover_1.0,base_technical_risk,45,risk_adjusted,risk_adjusted,1.0,reused_full_feature_predictions,,,,,,,,,turnover_1_0,walk_forward_base_technical_risk,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.08568287596725521,0.022662059807434742,0.0014387948758340676,0.00044126460183849226,0.011661682290884124,0.011656610699045961,-0.09781754151749833,-0.12183611679441086,0.8896913104466466,0.27297851649212257,0.48333333333333334,0.4666666666666667,5.0,5.0,2.986333402787977e-13,0.9975302739955751,1.5336467939564784,0.6716964445544485,0.059851816439734515
turnover,max_turnover_0.75,base_technical_risk,45,risk_adjusted,risk_adjusted,0.75,reused_full_feature_predictions,,,,,,,,,turnover_0_75,walk_forward_base_technical_risk,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.08351071529576437,0.0358762388901015,0.0013829657327468219,0.000632965732746445,0.00953552770705372,0.009535527707053744,-0.07800656569041664,-0.09655154115922515,1.0458474905252986,0.47867102380516013,0.48333333333333334,0.45,5.0,5.0,0.0058231828896439,0.7500000000003768,1.5839754158434778,0.4864773923044484,0.045000000000022605
turnover,max_turnover_0.5,base_technical_risk,45,risk_adjusted,risk_adjusted,0.5,reused_full_feature_predictions,,,,,,,,,turnover_0_5,walk_forward_base_technical_risk,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,60,0.07178586171234635,0.0401372900754251,0.0011805304899672236,0.0006805304899672234,0.006998920077562504,0.0069989200775625055,-0.05533459136252561,-0.0675355058125312,1.2163199941291054,0.7011617646441234,0.45,0.45,5.0,5.0,0.01889485548411353,0.5,1.6463912771529647,0.3105924077735314,0.030000000000000002
