profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,rerank_signal_column,rerank_signal_weight,secondary_candidate_size,secondary_screen_mode,secondary_screen_weight,local_tiebreak_start_rank,local_tiebreak_end_rank,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,candidate_size,vol20_pct,vol5_pct,risk_penalty,rank_ic_mean,top5_mean_return_mean
lstm_exec_cs180_v2086_v598_rp-80_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0559438097511706,0.953411949785236,0.012348531968178655,0.011487736683806636,0.02330259077191453,0.023370881454170975,-0.04493766129468102,-0.05058183491056023,3.821314601776906,3.5445495484383076,0.6333333333333333,0.6333333333333333,5.0,5.0,1.4802973661668754e-17,0.8607952843720211,1.0507813061873648,0.8719246810107701,0.05164771706232127,180,0.86,0.98,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs180_v2086_v598_rp-50_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0559438097511706,0.953411949785236,0.012348531968178655,0.011487736683806636,0.02330259077191453,0.023370881454170975,-0.04493766129468102,-0.05058183491056023,3.821314601776906,3.5445495484383076,0.6333333333333333,0.6333333333333333,5.0,5.0,1.4802973661668754e-17,0.8607952843720211,1.0507813061873648,0.8719246810107701,0.05164771706232127,180,0.86,0.98,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs180_v2086_v598_rp-20_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0559438097511706,0.953411949785236,0.012348531968178655,0.011487736683806636,0.02330259077191453,0.023370881454170975,-0.04493766129468102,-0.05058183491056023,3.821314601776906,3.5445495484383076,0.6333333333333333,0.6333333333333333,5.0,5.0,1.4802973661668754e-17,0.8607952843720211,1.0507813061873648,0.8719246810107701,0.05164771706232127,180,0.86,0.98,-0.2,0.01168002338745768,0.010118703963325768
lstm_exec_cs180_v2086_v5100_rp-80_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0559438097511706,0.953411949785236,0.012348531968178655,0.011487736683806636,0.02330259077191453,0.023370881454170975,-0.04493766129468102,-0.05058183491056023,3.821314601776906,3.5445495484383076,0.6333333333333333,0.6333333333333333,5.0,5.0,1.4802973661668754e-17,0.8607952843720211,1.0507813061873648,0.8719246810107701,0.05164771706232127,180,0.86,1.0,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs180_v2086_v5100_rp-50_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0559438097511706,0.953411949785236,0.012348531968178655,0.011487736683806636,0.02330259077191453,0.023370881454170975,-0.04493766129468102,-0.05058183491056023,3.821314601776906,3.5445495484383076,0.6333333333333333,0.6333333333333333,5.0,5.0,1.4802973661668754e-17,0.8607952843720211,1.0507813061873648,0.8719246810107701,0.05164771706232127,180,0.86,1.0,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs180_v2086_v5100_rp-20_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0559438097511706,0.953411949785236,0.012348531968178655,0.011487736683806636,0.02330259077191453,0.023370881454170975,-0.04493766129468102,-0.05058183491056023,3.821314601776906,3.5445495484383076,0.6333333333333333,0.6333333333333333,5.0,5.0,1.4802973661668754e-17,0.8607952843720211,1.0507813061873648,0.8719246810107701,0.05164771706232127,180,0.86,1.0,-0.2,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v598_rp-80_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0541428242167736,0.9517273443507648,0.012334218948858148,0.011473664301663883,0.02332279554204808,0.02339095578638027,-0.045091365590046784,-0.0507339606050069,3.8135787609792113,3.537169266182573,0.6333333333333333,0.6333333333333333,5.0,5.0,3.3306690738754695e-17,0.8605546471942672,1.0500212558307171,0.8721889336002182,0.05163327883165604,150,0.86,0.98,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v598_rp-50_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0541428242167736,0.9517273443507648,0.012334218948858148,0.011473664301663883,0.02332279554204808,0.02339095578638027,-0.045091365590046784,-0.0507339606050069,3.8135787609792113,3.537169266182573,0.6333333333333333,0.6333333333333333,5.0,5.0,3.3306690738754695e-17,0.8605546471942672,1.0500212558307171,0.8721889336002182,0.05163327883165604,150,0.86,0.98,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v598_rp-20_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0541428242167736,0.9517273443507648,0.012334218948858148,0.011473664301663883,0.02332279554204808,0.02339095578638027,-0.045091365590046784,-0.0507339606050069,3.8135787609792113,3.537169266182573,0.6333333333333333,0.6333333333333333,5.0,5.0,3.3306690738754695e-17,0.8605546471942672,1.0500212558307171,0.8721889336002182,0.05163327883165604,150,0.86,0.98,-0.2,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v5100_rp-80_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0541428242167736,0.9517273443507648,0.012334218948858148,0.011473664301663883,0.02332279554204808,0.02339095578638027,-0.045091365590046784,-0.0507339606050069,3.8135787609792113,3.537169266182573,0.6333333333333333,0.6333333333333333,5.0,5.0,3.3306690738754695e-17,0.8605546471942672,1.0500212558307171,0.8721889336002182,0.05163327883165604,150,0.86,1.0,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v5100_rp-50_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0541428242167736,0.9517273443507648,0.012334218948858148,0.011473664301663883,0.02332279554204808,0.02339095578638027,-0.045091365590046784,-0.0507339606050069,3.8135787609792113,3.537169266182573,0.6333333333333333,0.6333333333333333,5.0,5.0,3.3306690738754695e-17,0.8605546471942672,1.0500212558307171,0.8721889336002182,0.05163327883165604,150,0.86,1.0,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v5100_rp-20_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0541428242167736,0.9517273443507648,0.012334218948858148,0.011473664301663883,0.02332279554204808,0.02339095578638027,-0.045091365590046784,-0.0507339606050069,3.8135787609792113,3.537169266182573,0.6333333333333333,0.6333333333333333,5.0,5.0,3.3306690738754695e-17,0.8605546471942672,1.0500212558307171,0.8721889336002182,0.05163327883165604,150,0.86,1.0,-0.2,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v598_rp-80_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0530668440781437,0.9507907277736782,0.012325800168632137,0.011466007575294765,0.023339819577081696,0.023408553391410437,-0.045289870410847866,-0.05093424311863837,3.808196063586074,3.53215147867733,0.6333333333333333,0.6333333333333333,5.0,5.0,2.2204460492503132e-17,0.8597925933373725,1.0484488135113597,0.8726031757884253,0.05158755560024234,120,0.86,0.98,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v598_rp-50_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0530668440781437,0.9507907277736782,0.012325800168632137,0.011466007575294765,0.023339819577081696,0.023408553391410437,-0.045289870410847866,-0.05093424311863837,3.808196063586074,3.53215147867733,0.6333333333333333,0.6333333333333333,5.0,5.0,2.2204460492503132e-17,0.8597925933373725,1.0484488135113597,0.8726031757884253,0.05158755560024234,120,0.86,0.98,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v598_rp-20_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0530668440781437,0.9507907277736782,0.012325800168632137,0.011466007575294765,0.023339819577081696,0.023408553391410437,-0.045289870410847866,-0.05093424311863837,3.808196063586074,3.53215147867733,0.6333333333333333,0.6333333333333333,5.0,5.0,2.2204460492503132e-17,0.8597925933373725,1.0484488135113597,0.8726031757884253,0.05158755560024234,120,0.86,0.98,-0.2,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v5100_rp-80_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0530668440781437,0.9507907277736782,0.012325800168632137,0.011466007575294765,0.023339819577081696,0.023408553391410437,-0.045289870410847866,-0.05093424311863837,3.808196063586074,3.53215147867733,0.6333333333333333,0.6333333333333333,5.0,5.0,2.2204460492503132e-17,0.8597925933373725,1.0484488135113597,0.8726031757884253,0.05158755560024234,120,0.86,1.0,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v5100_rp-50_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0530668440781437,0.9507907277736782,0.012325800168632137,0.011466007575294765,0.023339819577081696,0.023408553391410437,-0.045289870410847866,-0.05093424311863837,3.808196063586074,3.53215147867733,0.6333333333333333,0.6333333333333333,5.0,5.0,2.2204460492503132e-17,0.8597925933373725,1.0484488135113597,0.8726031757884253,0.05158755560024234,120,0.86,1.0,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v5100_rp-20_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0530668440781437,0.9507907277736782,0.012325800168632137,0.011466007575294765,0.023339819577081696,0.023408553391410437,-0.045289870410847866,-0.05093424311863837,3.808196063586074,3.53215147867733,0.6333333333333333,0.6333333333333333,5.0,5.0,2.2204460492503132e-17,0.8597925933373725,1.0484488135113597,0.8726031757884253,0.05158755560024234,120,0.86,1.0,-0.2,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v598_rp-80_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,120,0.86,0.98,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v598_rp-50_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,120,0.86,0.98,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v598_rp-20_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,120,0.86,0.98,-0.2,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v5100_rp-80_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,120,0.86,1.0,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v5100_rp-50_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,120,0.86,1.0,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs120_v2086_v5100_rp-20_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,120,0.86,1.0,-0.2,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v598_rp-80_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,150,0.86,0.98,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v598_rp-50_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,150,0.86,0.98,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v598_rp-20_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,150,0.86,0.98,-0.2,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v5100_rp-80_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,150,0.86,1.0,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v5100_rp-50_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,150,0.86,1.0,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs150_v2086_v5100_rp-20_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,150,0.86,1.0,-0.2,0.01168002338745768,0.010118703963325768
lstm_exec_cs180_v2086_v598_rp-80_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,180,0.86,0.98,-0.8,0.01168002338745768,0.010118703963325768
lstm_exec_cs180_v2086_v598_rp-50_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,180,0.86,0.98,-0.5,0.01168002338745768,0.010118703963325768
lstm_exec_cs180_v2086_v598_rp-20_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.2,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0473161908908164,0.9469001498048104,0.012289158833451254,0.011443238475698066,0.023798351994053783,0.023874290149345286,-0.04687680080279055,-0.05317954212090659,3.723719383375852,3.456369410222923,0.6333333333333333,0.6333333333333333,5.0,5.0,2.960594732333751e-17,0.8459203577531882,1.0292209549684626,0.8750919497592765,0.05075522146519129,180,0.86,0.98,-0.2,0.01168002338745768,0.010118703963325768
